TransactionID,TransactionAmount,TransactionTime,MerchantCategory,CustomerAge,CustomerGender,CustomerIncome,TransactionLocation,PreviousFraudCount,Fraud
61,4259.89,13.23,Fashion,24,Female,47259,Suburban,1,0
62,2109.42,19.12,Grocery,55,Male,70331,Urban,0,1
63,1350.64,3.4,Restaurant,45,Female,129051,Urban,5,0
64,3909.43,19.69,Fashion,23,Female,116187,Rural,4,1
65,1191.26,10.56,Fashion,22,Male,174119,Urban,3,0
66,1173.23,11.07,Grocery,28,Female,124916,Urban,4,0
67,1046.08,11.81,Restaurant,29,Female,173098,Urban,5,0
68,2985.88,14.07,Electronics,19,Female,20058,Urban,4,0
69,705.0,7.67,Online,75,Male,40428,Rural,1,0
70,3575.59,21.62,Electronics,79,Female,191646,Urban,3,1
71,3225.52,20.18,Electronics,42,Female,187677,Rural,5,1
72,3182.74,17.9,Healthcare,64,Male,136700,Suburban,1,0
73,511.63,2.7,Healthcare,51,Female,132412,Rural,5,0
74,2680.44,5.72,Fashion,51,Female,187908,Rural,1,0
75,844.9,19.82,Fashion,20,Male,42426,Suburban,1,0
76,1656.31,12.96,Online,23,Male,175385,Urban,1,0
77,4604.15,17.23,Fuel,71,Male,54536,Suburban,4,1
78,2150.71,6.09,Grocery,23,Female,31416,Urban,2,0
79,4376.87,22.87,Electronics,47,Male,161409,Rural,3,1
80,3920.28,12.1,Healthcare,52,Male,142625,Suburban,0,0
81,2212.61,9.44,Online,69,Female,90738,Suburban,4,0
82,231.05,23.89,Restaurant,41,Male,32121,Urban,2,0
83,4746.19,6.46,Online,63,Male,55505,Urban,4,1
84,3332.9,18.37,Travel,21,Female,37544,Rural,2,1
85,2205.68,7.66,Online,79,Male,90880,Suburban,1,0
86,60.53,18.09,Electronics,46,Female,100640,Suburban,2,0
87,1703.28,7.01,Fashion,18,Female,195040,Rural,4,0
88,3410.3,16.41,Grocery,74,Female,174950,Urban,0,0
89,4325.69,19.49,Fuel,78,Female,189424,Suburban,2,1
90,2105.82,8.33,Grocery,28,Female,32062,Suburban,5,0
91,3224.72,8.91,Electronics,64,Female,173486,Urban,4,1
92,1679.97,0.48,Travel,39,Male,184904,Suburban,2,0
93,4152.13,5.16,Electronics,38,Male,42514,Suburban,2,1
94,3424.73,2.47,Grocery,36,Male,176224,Suburban,3,1
95,850.22,1.99,Restaurant,22,Female,108102,Urban,1,1
96,250.48,13.43,Online,65,Female,180903,Rural,0,0
97,2452.16,4.46,Restaurant,25,Male,42991,Rural,2,1
98,738.8,20.14,Fashion,60,Male,138790,Suburban,5,0
99,3260.0,9.62,Healthcare,68,Female,20588,Urban,0,0
100,3015.49,8.1,Travel,66,Male,70460,Suburban,1,0
101,118.48,4.87,Travel,44,Female,52920,Urban,4,0
102,4477.98,9.62,Online,19,Male,33024,Rural,3,1
103,4967.23,10.48,Online,30,Female,47882,Rural,0,0
104,285.14,7.52,Travel,71,Female,128884,Suburban,3,1
105,1082.44,11.81,Fuel,18,Male,183401,Rural,5,0
106,2309.44,1.99,Fashion,75,Female,65901,Suburban,0,0
107,2042.73,1.91,Restaurant,52,Female,84673,Rural,4,0
108,2167.58,2.01,Fuel,29,Male,73919,Urban,1,0
109,3410.86,6.11,Electronics,56,Female,165632,Suburban,4,1
110,4838.07,11.42,Electronics,22,Female,87620,Suburban,2,1
111,2612.93,8.83,Grocery,76,Male,102760,Rural,4,0
112,4962.98,3.16,Fuel,75,Female,117998,Suburban,5,1
113,3506.15,3.92,Restaurant,60,Male,129117,Urban,4,1
114,4439.16,15.52,Electronics,35,Female,190222,Rural,5,1
115,1577.37,5.47,Electronics,45,Female,183234,Suburban,5,0
116,2145.04,3.77,Grocery,27,Female,58878,Urban,3,1
117,1916.46,23.75,Travel,23,Female,183613,Rural,3,0
118,2220.45,16.74,Online,61,Female,170616,Suburban,2,0
119,736.1,9.91,Electronics,30,Female,129851,Urban,1,0
120,3832.44,18.48,Fuel,31,Female,194513,Rural,0,0
121,1187.68,3.94,Travel,80,Male,55759,Suburban,3,1
122,4713.44,14.36,Grocery,26,Male,192803,Rural,4,1
123,195.48,18.88,Restaurant,18,Female,190720,Urban,5,0
124,4500.44,11.84,Online,72,Female,116050,Urban,5,1
125,2988.73,6.8,Fashion,78,Female,42749,Urban,1,0
126,4042.61,19.05,Grocery,48,Male,29017,Rural,5,1
127,1413.65,22.31,Online,29,Female,102155,Rural,0,0
128,1976.8,7.43,Online,64,Female,84252,Urban,4,0
129,1865.25,16.51,Online,23,Male,65956,Rural,2,0
130,1297.38,22.84,Restaurant,18,Female,144060,Urban,4,0
131,2313.2,9.93,Electronics,69,Female,185209,Suburban,3,1
132,918.26,16.43,Travel,19,Male,146248,Suburban,1,0
133,4330.0,21.69,Grocery,44,Female,72086,Suburban,4,1
134,4939.17,1.24,Healthcare,61,Male,46407,Urban,3,1
135,2460.95,0.39,Online,51,Female,70349,Rural,5,0
136,752.17,1.47,Healthcare,19,Female,69896,Rural,4,0
137,1571.61,22.06,Grocery,35,Male,69468,Rural,4,0
138,4941.42,4.47,Fuel,76,Male,78949,Suburban,4,1
139,697.45,2.28,Healthcare,42,Female,69804,Suburban,2,0
140,165.65,12.67,Online,57,Female,80943,Rural,3,0
141,3205.2,13.9,Fashion,32,Female,88933,Urban,1,0
142,3000.99,18.48,Healthcare,24,Female,90845,Suburban,5,1
143,3321.22,20.76,Fuel,77,Male,92491,Rural,2,1
144,4075.53,10.83,Fashion,37,Female,91475,Rural,0,0
145,4776.96,11.47,Online,59,Male,100836,Urban,2,1
146,2887.96,15.11,Fashion,62,Female,30930,Rural,5,0
147,1196.68,17.94,Travel,53,Female,198847,Urban,0,0
148,1990.47,22.46,Grocery,36,Female,61653,Rural,3,0
149,142.29,16.34,Grocery,45,Male,33316,Suburban,3,0
150,3186.64,17.58,Fuel,43,Female,87832,Rural,2,1
151,4156.59,6.35,Electronics,67,Male,56242,Urban,2,1
152,324.3,2.6,Online,56,Female,112484,Suburban,4,0
153,1629.58,12.7,Online,19,Female,49874,Rural,0,0
154,4289.26,23.16,Restaurant,27,Male,183616,Suburban,0,0
155,3627.5,17.06,Restaurant,47,Male,118692,Rural,0,0
156,327.06,8.45,Restaurant,58,Male,132657,Rural,2,0
157,317.81,1.29,Grocery,31,Female,135638,Rural,5,0
158,3661.64,21.98,Fashion,51,Female,164079,Rural,4,1
159,805.09,2.12,Fashion,49,Female,167092,Rural,4,0
160,2702.21,14.84,Grocery,38,Female,69288,Urban,5,1
161,1531.35,9.2,Fuel,78,Female,42339,Suburban,1,0
162,2199.58,7.98,Online,76,Male,126098,Urban,0,0
163,4723.26,9.69,Online,38,Male,92025,Rural,4,1
164,3652.38,7.56,Fuel,76,Female,161939,Rural,5,1
165,809.21,23.08,Fuel,69,Male,79053,Urban,5,0
166,1126.77,11.93,Travel,63,Female,157291,Urban,5,0
167,4751.96,11.7,Healthcare,61,Male,24796,Urban,3,1
168,2520.9,12.72,Electronics,58,Female,94897,Rural,1,0
169,3693.87,13.05,Travel,72,Female,159913,Suburban,1,0
170,4102.48,13.57,Fashion,27,Female,162718,Suburban,5,1
171,1766.95,9.93,Travel,69,Male,54835,Urban,4,0
172,2362.42,21.47,Grocery,58,Male,44023,Urban,5,0
173,458.25,2.93,Healthcare,76,Female,37914,Urban,4,0
174,1738.1,8.25,Restaurant,63,Male,195197,Urban,5,0
175,1487.88,3.12,Electronics,45,Female,132319,Rural,5,0
176,4107.79,9.45,Healthcare,74,Female,59381,Rural,4,1
177,3434.71,21.32,Restaurant,19,Male,27495,Rural,1,1
178,2564.51,5.41,Fashion,46,Male,94794,Suburban,0,0
179,2578.61,1.69,Fashion,70,Male,171003,Rural,5,0
180,1132.06,6.72,Electronics,48,Male,111765,Rural,3,1
181,197.07,23.85,Fashion,45,Male,141424,Suburban,0,0
182,3224.94,20.41,Grocery,52,Female,167404,Rural,4,1
183,1915.59,6.48,Fuel,23,Male,181634,Urban,1,0
184,4280.2,23.91,Fuel,41,Female,160440,Suburban,3,1
185,2307.82,10.67,Grocery,55,Female,198009,Rural,1,0
186,4455.97,21.09,Fashion,34,Female,109201,Urban,4,1
187,3213.83,17.11,Fashion,78,Male,55406,Urban,1,1
188,2050.52,1.75,Healthcare,68,Female,109833,Suburban,5,0
189,711.17,4.78,Fashion,77,Female,102858,Urban,3,0
190,3267.34,21.94,Grocery,48,Female,20401,Suburban,0,0
191,4783.23,23.88,Travel,33,Female,94116,Urban,2,1
192,4742.14,20.82,Fuel,76,Male,105354,Rural,5,1
193,4627.04,5.96,Healthcare,71,Female,107523,Suburban,0,0
194,2410.13,21.15,Electronics,37,Female,29177,Rural,0,0
195,90.98,7.31,Electronics,21,Female,167106,Urban,4,0
196,3788.55,12.38,Travel,31,Female,86259,Rural,1,0
197,4049.1,6.41,Online,30,Male,25087,Urban,4,1
198,3579.52,22.44,Restaurant,62,Female,152401,Rural,4,1
199,2888.52,6.93,Grocery,21,Female,26731,Suburban,5,0
200,3380.64,6.57,Restaurant,21,Female,76412,Rural,2,1
201,1040.74,17.04,Healthcare,53,Female,136023,Rural,0,1
202,4202.43,8.71,Fuel,28,Female,144431,Rural,1,0
203,4202.86,12.25,Travel,73,Male,78523,Urban,1,0
204,4360.69,5.63,Online,56,Male,73820,Urban,5,1
205,2927.27,6.92,Electronics,49,Male,40277,Rural,3,1
206,627.93,16.44,Online,21,Male,51624,Suburban,4,0
207,2458.49,16.66,Healthcare,56,Male,148229,Suburban,4,0
208,2726.19,5.57,Fashion,75,Female,22141,Urban,5,0
209,2829.82,4.83,Fashion,79,Female,27774,Urban,2,0
210,4098.12,4.58,Healthcare,22,Female,35817,Rural,3,1
211,2358.24,13.05,Online,48,Female,154917,Rural,1,0
212,1891.53,1.93,Healthcare,66,Female,154022,Urban,3,0
213,2479.44,11.93,Restaurant,57,Female,190561,Urban,5,0
214,986.3,17.68,Electronics,48,Female,129854,Rural,5,1
215,864.16,0.34,Fashion,32,Female,165573,Urban,5,1
216,594.31,17.64,Healthcare,39,Female,155118,Suburban,4,0
217,378.38,10.94,Grocery,33,Male,185643,Urban,2,0
218,4686.84,10.55,Travel,51,Male,94055,Urban,4,1
219,4866.31,18.24,Electronics,48,Male,157944,Urban,3,1
220,4405.66,5.96,Travel,75,Male,97683,Rural,4,1
221,3308.15,2.24,Travel,44,Female,114786,Urban,3,1
222,386.69,9.63,Electronics,38,Female,141803,Urban,4,0
223,4255.59,13.41,Restaurant,46,Male,81580,Rural,3,1
224,3138.29,5.9,Restaurant,36,Female,107314,Suburban,1,0
225,1263.6,5.73,Restaurant,64,Female,160835,Suburban,0,0
226,2514.21,19.08,Fuel,63,Female,30908,Suburban,3,0
227,580.24,1.7,Online,35,Male,67079,Rural,3,0
228,3872.83,4.2,Travel,38,Female,21931,Suburban,5,1
229,2692.88,2.38,Grocery,50,Male,186890,Suburban,5,0
230,1740.3,16.93,Fuel,45,Female,64725,Urban,5,0
231,2820.46,19.72,Online,24,Female,86945,Suburban,3,0
232,1741.92,17.7,Fashion,59,Female,74474,Rural,2,0
233,2284.36,7.9,Grocery,72,Male,58030,Urban,5,0
234,3143.88,6.08,Fashion,56,Male,107080,Urban,4,1
235,3887.95,16.84,Fashion,38,Female,21714,Rural,2,1
236,1469.51,10.64,Restaurant,31,Male,61079,Urban,3,0
237,1920.73,20.49,Restaurant,55,Female,188237,Urban,4,0
238,3884.21,8.87,Healthcare,35,Male,149827,Urban,2,1
239,2041.21,0.53,Electronics,42,Male,165683,Urban,0,0
240,1976.16,16.89,Fashion,38,Male,193055,Suburban,3,0
241,4857.88,19.56,Restaurant,36,Male,115743,Rural,5,1
242,2242.7,5.63,Grocery,46,Female,103582,Urban,2,0
243,2865.26,22.04,Online,30,Female,95242,Suburban,5,0
244,1234.68,14.09,Fashion,76,Female,30239,Suburban,1,0
245,1500.15,6.46,Healthcare,77,Male,103097,Suburban,5,0
246,1155.45,15.27,Fashion,70,Male,160441,Rural,2,0
247,3322.4,22.18,Restaurant,66,Female,72549,Suburban,5,1
248,2924.07,16.38,Fuel,48,Female,179057,Urban,4,1
249,2648.14,1.25,Grocery,53,Female,34407,Suburban,3,0
250,2714.42,15.8,Healthcare,19,Male,65030,Urban,0,0
251,420.48,17.63,Restaurant,33,Male,136529,Rural,5,0
252,3998.99,20.44,Grocery,22,Female,184294,Suburban,3,1
253,1282.76,20.76,Online,48,Male,192867,Rural,3,0
254,4951.64,3.3,Fashion,68,Female,117019,Rural,5,1
255,1981.45,17.07,Restaurant,47,Male,129497,Suburban,3,0
256,2439.81,20.88,Travel,50,Female,99487,Rural,4,1
257,4310.37,19.52,Restaurant,52,Male,186092,Suburban,5,1
258,4837.68,19.1,Electronics,61,Female,152176,Suburban,4,1
259,1926.73,19.88,Fuel,79,Female,36019,Urban,1,0
260,3250.91,16.64,Travel,60,Female,74719,Rural,3,1
261,3985.06,22.66,Restaurant,26,Female,198299,Urban,2,1
262,2649.89,7.22,Electronics,41,Female,184950,Urban,3,0
263,1318.18,5.8,Travel,70,Male,169522,Suburban,3,0
264,364.6,17.01,Restaurant,49,Female,186795,Urban,3,1
265,3569.61,9.21,Electronics,41,Female,109205,Suburban,3,1
266,4691.56,7.49,Electronics,57,Male,20727,Rural,5,1
267,405.99,10.68,Fashion,78,Female,25128,Urban,4,0
268,2548.12,1.36,Fashion,30,Female,175315,Urban,3,0
269,1118.68,18.29,Online,57,Male,89390,Rural,0,0
270,2810.93,8.41,Fashion,37,Male,186351,Urban,3,0
271,3053.17,5.84,Healthcare,65,Male,158989,Suburban,1,0
272,3296.22,19.39,Restaurant,31,Female,94338,Urban,0,0
273,3083.16,10.36,Travel,61,Female,134523,Suburban,0,0
274,3939.11,22.08,Travel,38,Male,60604,Urban,4,1
275,144.13,1.56,Restaurant,20,Male,104196,Rural,4,1
276,2945.83,22.15,Electronics,46,Female,198985,Rural,4,0
277,2981.61,15.91,Healthcare,80,Female,85245,Suburban,2,0
278,1790.24,5.25,Online,55,Male,22752,Urban,0,0
279,2402.65,14.13,Electronics,46,Female,45890,Urban,5,1
280,3015.06,12.57,Fuel,54,Female,22625,Rural,0,0
281,3719.38,6.09,Travel,49,Female,66977,Rural,3,1
282,3819.53,19.88,Restaurant,60,Female,35031,Urban,5,1
283,4464.07,15.76,Electronics,47,Male,106210,Rural,0,0
284,4369.34,23.7,Travel,78,Male,92942,Suburban,1,0
285,4988.08,15.41,Fuel,38,Female,61902,Suburban,2,1
286,2723.0,18.74,Travel,54,Female,160439,Suburban,4,0
287,4233.28,7.68,Electronics,75,Male,100599,Urban,0,1
288,4520.78,9.81,Grocery,45,Female,42852,Urban,0,0
289,1790.8,5.69,Fashion,68,Female,181937,Rural,5,0
290,3408.77,18.87,Fuel,78,Female,199569,Suburban,4,1
291,3043.2,15.78,Healthcare,69,Male,27636,Suburban,3,1
292,94.06,3.14,Grocery,68,Male,87626,Suburban,4,0
293,4727.96,5.22,Online,27,Male,171696,Urban,1,0
294,1197.75,22.56,Travel,72,Male,45683,Suburban,1,0
295,3388.19,6.37,Fuel,51,Male,144033,Rural,3,1
296,2161.08,5.53,Restaurant,48,Female,120831,Urban,0,0
297,2697.71,7.7,Fuel,75,Female,37817,Urban,0,1
298,2411.44,2.74,Fashion,71,Male,28358,Urban,5,1
299,3211.94,11.73,Fashion,52,Female,128713,Suburban,4,1
300,2426.51,20.55,Fuel,69,Male,96855,Urban,0,0
301,1512.7,23.76,Fashion,78,Female,113546,Urban,5,0
302,573.8,15.71,Fuel,31,Female,143731,Suburban,3,0
303,3267.75,8.76,Healthcare,25,Female,51542,Rural,5,1
304,2992.7,10.77,Healthcare,38,Female,96930,Suburban,1,0
305,1431.8,7.05,Fuel,42,Female,93996,Rural,1,0
306,378.29,3.82,Electronics,19,Male,43657,Suburban,1,0
307,4407.4,2.29,Online,33,Male,30447,Urban,4,1
308,1283.68,13.1,Healthcare,56,Female,37668,Rural,1,1
309,2544.72,9.67,Healthcare,49,Male,147109,Urban,0,0
310,2088.83,21.23,Fashion,26,Male,133914,Rural,1,0
311,3993.58,16.0,Fuel,41,Male,157868,Suburban,3,1
312,583.19,0.24,Travel,78,Female,138373,Suburban,2,0
313,1714.72,9.32,Electronics,79,Female,24350,Urban,5,0
314,908.91,1.99,Healthcare,40,Male,108886,Rural,4,1
315,635.37,19.33,Online,29,Male,115220,Suburban,5,0
316,177.32,1.0,Travel,33,Male,65122,Rural,5,1
317,1121.33,21.65,Travel,39,Male,166824,Urban,3,0
318,3911.75,6.93,Travel,69,Female,94175,Urban,3,1
319,3352.81,5.73,Fuel,19,Male,180811,Suburban,4,1
320,1058.08,20.92,Electronics,30,Male,157975,Rural,5,0
321,3291.7,18.95,Fashion,46,Male,37333,Suburban,3,1
322,1354.29,19.96,Travel,52,Male,86630,Suburban,1,1
323,1928.13,14.03,Fuel,35,Male,45342,Rural,0,1
324,1106.79,1.14,Grocery,47,Female,99435,Rural,4,0
325,2319.35,5.68,Fashion,55,Female,170189,Urban,4,1
326,4633.85,21.66,Fashion,61,Male,134655,Urban,5,1
327,151.29,0.95,Online,38,Female,97842,Suburban,2,0
328,692.31,18.91,Online,67,Female,182135,Suburban,0,1
329,724.48,14.35,Fuel,45,Female,139376,Urban,2,1
330,861.22,17.54,Online,41,Male,94479,Suburban,1,0
331,2326.01,2.19,Healthcare,61,Female,184567,Rural,5,0
332,1942.66,22.51,Electronics,50,Female,103484,Rural,5,0
333,4239.8,4.43,Travel,73,Female,93833,Rural,4,1
334,4287.15,18.96,Electronics,55,Female,43820,Urban,2,1
335,1496.15,2.99,Travel,79,Female,21689,Rural,5,0
336,2063.41,9.69,Restaurant,39,Male,151740,Suburban,0,1
337,765.14,14.51,Travel,26,Female,172942,Urban,3,0
338,453.19,1.33,Grocery,47,Female,69516,Suburban,3,0
339,772.38,10.18,Electronics,60,Male,35311,Urban,1,1
340,2284.86,15.04,Travel,71,Female,126976,Rural,0,0
341,2092.17,19.54,Grocery,35,Male,27158,Urban,0,0
342,1070.96,18.95,Fuel,65,Female,135637,Suburban,3,0
343,1399.44,1.25,Fashion,31,Male,130548,Urban,1,0
344,3065.91,17.87,Healthcare,53,Female,128178,Suburban,0,0
345,2856.44,21.61,Fashion,57,Female,145634,Rural,5,0
346,1911.75,15.23,Restaurant,57,Male,131487,Urban,4,0
347,4805.04,16.85,Grocery,74,Male,37062,Suburban,1,0
348,1647.63,15.85,Fashion,27,Female,115546,Suburban,4,1
349,1523.56,20.63,Fuel,58,Male,71996,Urban,4,0
350,3598.27,18.37,Fuel,67,Female,82501,Suburban,1,0
351,476.22,18.07,Healthcare,25,Male,39621,Urban,2,0
352,1522.46,13.6,Fashion,21,Male,180894,Urban,1,0
353,1215.25,14.47,Fuel,21,Female,27653,Suburban,2,0
354,1704.68,23.83,Fashion,42,Female,69188,Urban,5,0
355,3672.46,16.65,Electronics,68,Male,111832,Rural,5,1
356,210.22,15.87,Fashion,76,Female,87809,Urban,1,0
357,363.76,22.86,Online,77,Male,37989,Urban,1,1
358,2136.15,5.88,Healthcare,43,Female,24183,Rural,5,0
359,2213.63,12.69,Travel,46,Male,116278,Rural,1,1
360,3231.38,14.94,Restaurant,27,Male,70151,Suburban,4,1
361,2237.16,2.38,Fashion,22,Female,25428,Urban,3,0
362,205.13,7.92,Online,38,Male,174667,Suburban,2,0
363,4807.46,18.92,Grocery,66,Female,73676,Rural,1,0
364,2457.9,15.37,Online,70,Male,119643,Suburban,2,1
365,3875.72,1.74,Healthcare,78,Female,150342,Rural,3,1
366,1342.22,16.79,Restaurant,62,Female,115960,Suburban,2,0
367,554.53,17.43,Fuel,79,Female,79151,Rural,2,1
368,420.01,20.28,Fashion,19,Female,182849,Rural,0,0
369,1080.68,13.79,Electronics,47,Male,159586,Urban,2,0
370,4018.1,12.45,Fuel,28,Female,110273,Suburban,5,1
371,963.1,8.16,Online,35,Male,20413,Suburban,1,0
372,3716.57,12.08,Fuel,67,Female,132247,Rural,3,1
373,1412.38,15.88,Healthcare,77,Male,54387,Suburban,4,1
374,3286.6,18.71,Grocery,33,Male,192281,Suburban,4,1
375,416.19,3.21,Healthcare,52,Male,164213,Urban,2,0
376,4136.78,9.19,Online,75,Female,135306,Urban,2,1
377,56.8,8.29,Electronics,59,Male,123678,Rural,2,0
378,2539.3,3.01,Healthcare,23,Male,98953,Suburban,4,1
379,4708.1,6.34,Travel,42,Female,71968,Urban,3,1
380,4336.42,17.73,Fuel,49,Male,118908,Urban,0,1
381,1509.6,15.01,Online,78,Female,104083,Urban,4,0
382,4844.62,0.98,Fashion,37,Male,109325,Urban,3,1
383,2453.63,16.24,Fashion,40,Female,109729,Rural,1,0
384,3911.69,21.7,Electronics,30,Male,60101,Rural,1,0
385,2132.2,11.55,Fashion,28,Male,22990,Urban,0,0
386,2719.52,9.39,Restaurant,53,Female,47814,Rural,4,1
387,2297.38,1.52,Fashion,31,Male,95822,Rural,1,1
388,4756.91,17.27,Grocery,73,Female,142570,Suburban,4,1
389,3580.56,4.16,Restaurant,54,Male,171389,Rural,4,1
390,156.52,22.19,Restaurant,55,Male,177290,Suburban,4,0
391,2549.75,9.42,Fuel,30,Female,159033,Rural,5,0
392,966.08,19.15,Grocery,30,Female,112171,Rural,3,0
393,1661.9,8.32,Online,21,Male,27331,Urban,2,0
394,1667.75,5.84,Grocery,45,Male,108162,Rural,2,0
395,1253.49,15.21,Healthcare,67,Female,168259,Rural,4,0
396,3892.66,8.3,Restaurant,48,Male,30996,Suburban,4,1
397,2702.54,16.23,Electronics,18,Female,65608,Suburban,5,1
398,4099.09,21.3,Electronics,51,Male,183622,Suburban,0,0
399,1669.42,2.71,Restaurant,73,Female,102258,Urban,2,0
400,2839.39,19.06,Electronics,23,Male,101654,Rural,2,0
401,1471.13,4.22,Healthcare,57,Male,74709,Urban,1,0
402,4701.5,18.27,Fashion,44,Female,52939,Suburban,1,0
403,1757.41,18.89,Electronics,56,Female,23304,Suburban,3,0
404,3006.2,6.15,Healthcare,78,Female,159739,Urban,4,1
405,3049.87,6.64,Online,26,Male,51433,Suburban,4,1
406,1389.06,9.4,Fuel,71,Male,92408,Rural,5,0
407,2581.63,5.94,Healthcare,50,Male,50968,Urban,3,0
408,154.0,5.26,Electronics,53,Male,101195,Suburban,2,0
409,4189.56,21.59,Restaurant,38,Male,181647,Rural,1,0
410,2742.56,7.88,Travel,41,Male,71096,Urban,3,1
411,3382.34,1.33,Online,49,Female,61698,Suburban,5,1
412,991.34,20.51,Fuel,45,Male,171016,Suburban,3,1
413,2950.31,23.34,Fashion,45,Female,188987,Suburban,4,1
414,3882.42,12.16,Grocery,56,Female,198813,Suburban,4,1
415,4462.37,7.68,Online,55,Male,148296,Suburban,4,1
416,4940.29,14.65,Grocery,50,Female,77304,Urban,4,1
417,1551.84,4.39,Grocery,47,Female,45358,Rural,5,0
418,1126.11,17.6,Electronics,34,Male,155486,Urban,1,1
419,1565.34,14.81,Grocery,49,Male,62470,Urban,3,0
420,4751.78,13.43,Grocery,44,Female,21678,Urban,0,0
421,4331.21,9.41,Electronics,55,Male,192213,Suburban,1,0
422,2833.92,23.35,Restaurant,27,Male,196602,Rural,2,0
423,2886.0,5.64,Electronics,54,Male,199258,Suburban,5,0
424,4238.53,10.2,Healthcare,75,Female,83565,Suburban,4,1
425,2851.79,13.33,Travel,27,Male,138231,Rural,2,0
426,2516.37,8.36,Grocery,49,Male,113165,Suburban,0,0
427,889.86,5.47,Travel,37,Male,92059,Rural,1,0
428,569.4,1.85,Grocery,52,Male,117835,Rural,4,0
429,2033.83,14.69,Restaurant,78,Male,108893,Urban,4,0
430,4049.77,17.7,Travel,58,Male,59195,Rural,3,1
431,2080.57,16.86,Online,65,Male,48552,Suburban,0,0
432,3897.7,18.28,Restaurant,19,Female,47509,Suburban,5,1
